# budget, period, idle, total
1000,10000,125866609050,159415579724
1000,10000,123769032459,158878755312
1000,10000,120923358133,158915536424
1000,10000,123640031367,159276642736
1000,10000,121474476720,158633120322
1000,10000,122432553010,159159315840
1000,10000,125235791933,159290797116
1000,10000,121365548535,158705630092
1000,10000,121144886942,158618504872
2000,10000,110314233113,158363001520
2000,10000,110977848198,158940396496
2000,10000,106980829609,158669942728
2000,10000,109076707177,158744978928
2000,10000,111937258176,159551521432
2000,10000,108363866900,159201526140
2000,10000,107949044484,158599039036
2000,10000,106182475229,158179546972
2000,10000,107784822612,158815797908
2000,10000,108289815096,158870441928
3000,10000,95404194328,158338947312
3000,10000,93469326093,158603704588
3000,10000,94564561397,159551762564
3000,10000,91965446478,158404759572
3000,10000,95084562419,158628613666
3000,10000,93760323901,158771857352
3000,10000,95051078508,158657140288
3000,10000,94343192402,158859326420
3000,10000,94257143770,159904296780
3000,10000,93327962022,158372367646
4000,10000,79787271349,159167429064
4000,10000,78306019920,159453969160
4000,10000,78390084447,159127380816
4000,10000,79194069021,158374348302
4000,10000,79372659554,158494417620
4000,10000,79434512426,158977798056
4000,10000,81154396712,159017494404
4000,10000,79497585571,159011729340
4000,10000,79303824002,158646150100
4000,10000,79931233625,158454175204
5000,10000,66400308737,159260272576
5000,10000,65192083319,158463908652
5000,10000,63390727542,158454818006
5000,10000,63546054728,158604887088
5000,10000,63772283691,158795391290
5000,10000,65292615408,158432396896
5000,10000,64398154618,158669330842
5000,10000,65242253687,158484123640
5000,10000,65348950159,158814050856
5000,10000,65943080397,158521681468
6000,10000,51303359163,158781407380
6000,10000,50332335598,158542963280
6000,10000,49513040846,158484686820
6000,10000,49812738768,159302838016
6000,10000,51211128599,159369630548
6000,10000,49784154423,158840951756
6000,10000,50477418435,158487788100
6000,10000,50054212427,158681716248
6000,10000,50315429431,159204297680
6000,10000,51675705228,159079402788
7000,10000,36835318314,158638315272
7000,10000,35832682565,158733685768
7000,10000,35496462160,158673211210
7000,10000,36025441511,158617191884
7000,10000,35813232520,158789083126
7000,10000,36171045560,158207607388
7000,10000,37467749904,159348884976
7000,10000,36848611438,158844508804
7000,10000,35582556882,158723041008
7000,10000,36271726541,158467049976
8000,10000,22317066517,160119957676
8000,10000,20826856132,157899661836
8000,10000,22320110834,158859252000
8000,10000,20984380401,157870831084
8000,10000,22309079659,159448924148
8000,10000,21412623030,158212373916
8000,10000,21549190664,158338603164
8000,10000,22400683018,159343318540
8000,10000,21498480670,158473874768
8000,10000,21697126519,158818759032
9000,10000,7842829313,158820183912
9000,10000,7770181519,159501607936
9000,10000,7014941021,158186235328
9000,10000,7326697381,158054193612
9000,10000,7906055769,158998860464
9000,10000,7777395202,158650712548
9000,10000,7636881505,158537270742
9000,10000,7996472270,158925368464
9000,10000,7652981298,158479294056
9000,10000,8316012981,159360255312
10000,10000,2060200041,220172095704
10000,10000,1372427804,220174684136
10000,10000,2093531392,219966832840
10000,10000,2010273455,220130265612
10000,10000,2038349723,219503815846
10000,10000,2778225579,220705597814
10000,10000,1885526503,219998916380
10000,10000,2109828268,220170566180
